,name,species,year,city,count
460,MADDY,dog,2007,Seattle,1.0
461,COCO,dog,2007,Seattle,1.0
462,GUSTAVIA,dog,2007,Seattle,1.0
463,DASHA,dog,2007,Seattle,1.0
464,BOOBA,dog,2008,Seattle,1.0
465,MORRIGAN,dog,2008,Seattle,1.0
466,GIGI,dog,2008,Seattle,1.0
467,ORLA,dog,2008,Seattle,1.0
468,PRINCESS,dog,2008,Seattle,1.0
469,,dog,2008,Seattle,1.0
470,RICKIE,dog,2008,Seattle,1.0
471,CHEKA,dog,2008,Seattle,1.0
472,SASHA,dog,2008,Seattle,1.0
473,DAISY,dog,2008,Seattle,1.0
474,KIYOSHI,dog,2008,Seattle,1.0
475,BELLA,dog,2008,Seattle,1.0
476,HARLEY,dog,2008,Seattle,1.0
477,SOPHIE,dog,2008,Seattle,1.0
478,SKYY,dog,2008,Seattle,1.0
479,,dog,2008,Seattle,1.0
480,PRINCESS NALA,dog,2008,Seattle,1.0
481,KOMET,dog,2008,Seattle,1.0
482,LOLA,dog,2008,Seattle,1.0
483,SAZZY,dog,2008,Seattle,1.0
484,GISELLE,dog,2008,Seattle,1.0
485,KONA,dog,2008,Seattle,1.0
486,SHILOH,dog,2008,Seattle,1.0
487,ZERO,dog,2008,Seattle,1.0
488,TAYA,dog,2008,Seattle,1.0
489,JAVA,dog,2008,Seattle,1.0
490,PIXIE,dog,2008,Seattle,1.0
491,CHRISSY,dog,2008,Seattle,1.0
492,BABY GIRL,dog,2008,Seattle,1.0
493,SOPHIE,dog,2008,Seattle,1.0
494,VILMA,dog,2008,Seattle,1.0
495,SIDNEY,dog,2008,Seattle,1.0
496,PARKER,dog,2008,Seattle,1.0
497,DAISY,dog,2008,Seattle,1.0
498,DAPHNE,dog,2008,Seattle,1.0
499,JAZZ,dog,2008,Seattle,1.0
500,MERCY,dog,2008,Seattle,1.0
501,IZZY,dog,2008,Seattle,1.0
502,BELLA,dog,2008,Seattle,1.0
503,HONEY,dog,2008,Seattle,1.0
504,ISABELLA,dog,2008,Seattle,1.0
505,ROSIE,dog,2008,Seattle,1.0
506,JACKIE,dog,2008,Seattle,1.0
507,SADIE,dog,2008,Seattle,1.0
508,BELLA,dog,2008,Seattle,1.0
509,TALULA,dog,2008,Seattle,1.0
510,SWEEPER,dog,2008,Seattle,1.0
511,SAMMY,dog,2008,Seattle,1.0
512,CASS,dog,2008,Seattle,1.0
513,KEELE,dog,2008,Seattle,1.0
514,GWEN,dog,2008,Seattle,1.0
515,PAPRIKA,dog,2008,Seattle,1.0
516,DIGGER,dog,2008,Seattle,1.0
517,LEXUS,dog,2008,Seattle,1.0
518,JUDITH,dog,2008,Seattle,1.0
519,BELLA,dog,2008,Seattle,1.0
520,SUNNY,dog,2008,Seattle,1.0
521,ZPE,dog,2008,Seattle,1.0
522,SEIJI,dog,2008,Seattle,1.0
523,KIA,dog,2008,Seattle,1.0
524,ROXANNE,dog,2008,Seattle,1.0
525,BONNY,dog,2008,Seattle,1.0
526,MADISON,dog,2008,Seattle,1.0
527,MATHILDA,dog,2008,Seattle,1.0
528,KUMOJA,dog,2008,Seattle,1.0
529,BREE,dog,2008,Seattle,1.0
530,PHOENIX,dog,2008,Seattle,1.0
531,MIMI,dog,2008,Seattle,1.0
532,NALA,dog,2008,Seattle,1.0
533,KONA,dog,2008,Seattle,1.0
534,KIYA,dog,2008,Seattle,1.0
535,LAYLA,dog,2008,Seattle,1.0
536,MISS ROSEY,dog,2008,Seattle,1.0
537,CLEO,dog,2008,Seattle,1.0
538,SALLY,dog,2008,Seattle,1.0
539,ELLA,dog,2008,Seattle,1.0
540,CHINA,dog,2008,Seattle,1.0
541,GINGER,dog,2008,Seattle,1.0
542,LULU,dog,2008,Seattle,1.0
543,GIDGET,dog,2008,Seattle,1.0
544,LIZZY,dog,2008,Seattle,1.0
545,MARGO MAY,dog,2008,Seattle,1.0
546,SHASTA,dog,2008,Seattle,1.0
547,SHADOW,dog,2008,Seattle,1.0
548,GENNA,dog,2008,Seattle,1.0
549,,dog,2008,Seattle,1.0
550,MISTY,dog,2008,Seattle,1.0
551,LOLA,dog,2008,Seattle,1.0
552,REMY,dog,2008,Seattle,1.0
553,ELKE,dog,2008,Seattle,1.0
554,BAILEY,dog,2008,Seattle,1.0
555,LAYLA,dog,2008,Seattle,1.0
556,MOLLIE,dog,2008,Seattle,1.0
557,SOPHIE,dog,2008,Seattle,1.0
558,LOLA,dog,2008,Seattle,1.0
559,GEORGIA,dog,2008,Seattle,1.0
560,GUINNESS,dog,2008,Seattle,1.0
561,GRACIE,dog,2008,Seattle,1.0
562,LOLA,dog,2008,Seattle,1.0
563,ISA,dog,2008,Seattle,1.0
564,ZOE,dog,2008,Seattle,1.0
565,MELLEN COLLIE,dog,2008,Seattle,1.0
566,PAWS,dog,2008,Seattle,1.0
567,PEGGY,dog,2008,Seattle,1.0
568,HONEY,dog,2008,Seattle,1.0
569,EMILY,dog,2008,Seattle,1.0
570,ROZWELL,dog,2008,Seattle,1.0
571,,dog,2008,Seattle,1.0
572,ROXANNE,dog,2008,Seattle,1.0
573,HEIDI,dog,2008,Seattle,1.0
574,BRIETTA,dog,2008,Seattle,1.0
575,JANE,dog,2008,Seattle,1.0
576,ZEN,dog,2008,Seattle,1.0
577,SOPHIE,dog,2008,Seattle,1.0
578,KAYLA,dog,2008,Seattle,1.0
579,ARTOR,dog,2008,Seattle,1.0
580,LUNA,dog,2008,Seattle,1.0
581,SYDNEY,dog,2008,Seattle,1.0
582,LUCY,dog,2008,Seattle,1.0
583,COCO,dog,2008,Seattle,1.0
584,,dog,2008,Seattle,1.0
585,LUNA,dog,2008,Seattle,1.0
586,YAZMIN,dog,2008,Seattle,1.0
587,GINGER,dog,2008,Seattle,1.0
588,DOLLY,dog,2008,Seattle,1.0
589,LUCY,dog,2008,Seattle,1.0
590,BELLA,dog,2009,Seattle,1.0
591,WILLA,dog,2009,Seattle,1.0
592,COOKIE,dog,2009,Seattle,1.0
593,STELLA,dog,2009,Seattle,1.0
594,IRIE,dog,2009,Seattle,1.0
595,BABY,dog,2009,Seattle,1.0
596,MADISON,dog,2009,Seattle,1.0
597,GEORGETTE,dog,2009,Seattle,1.0
598,PHOEBE,dog,2009,Seattle,1.0
599,THAI,dog,2009,Seattle,1.0
600,BB,dog,2009,Seattle,1.0
601,INKLING,dog,2009,Seattle,1.0
602,CHAI,dog,2009,Seattle,1.0
603,PROWLER,dog,2009,Seattle,1.0
604,SUMMER,dog,2009,Seattle,1.0
605,PRINCESS,dog,2009,Seattle,1.0
606,MADDIE,dog,2009,Seattle,1.0
607,PEACHES,dog,2009,Seattle,1.0
608,ANNABELLE,dog,2009,Seattle,1.0
609,KOKI,dog,2009,Seattle,1.0
610,DORRIS,dog,2009,Seattle,1.0
611,DIAMOND,dog,2009,Seattle,1.0
612,ZOE,dog,2009,Seattle,1.0
613,LILLY,dog,2009,Seattle,1.0
614,MAYA,dog,2009,Seattle,1.0
615,BONNIE,dog,2009,Seattle,1.0
616,MYA,dog,2009,Seattle,1.0
